nct_id,ticker,phase,outcome_category,phase_clean,category_clean,car,car_long_window,short_raw,short_benchmark,estimation_window_return,unstable_estimation,needs_reverification,sign_disagreement,sign_disagreement_old,trustworthy,audit_status
NCT04380142,ABBV,PHASE3,success,Phase 3,Success,0.0616990686773037,0.0799738150702554,0.064298222660905,0.0584629977089008,0.0363875717033728,False,False,False,False,True,
NCT04688164,RLMD,PHASE3,failure_efficacy_safety,Phase 3,Failure,-0.0228851297186103,-1.0101235819587222,0.0369127162388496,0.0625631128484416,0.1936148801745671,False,False,False,False,True,
NCT03653026,ABBV,PHASE3,success,Phase 3,Success,0.0287859720592933,0.0869834994340714,0.0220745243327562,-0.0684606324861217,0.2538203474117568,False,False,False,False,True,
NCT02924376,INCY,PHASE2,success,Phase 2,Success,-0.1062042509953539,0.0187704486978529,-0.0841889290753549,0.0550089934163886,-0.1054425462354979,False,True,False,True,False,
NCT02007512,PFE,PHASE2,success,Phase 2,Success,0.0468949064473742,-0.0616098070080438,0.0504828783164532,0.019903511849898,-0.0975083481450488,False,False,False,False,True,
NCT05035095,NVO,PHASE3,success,Phase 3,Success,-0.0533671402998333,-0.1278671222616051,-0.0362504690073111,-0.0139264415086195,0.5111630259746083,True,False,False,False,False,
NCT04724837,AZN,PHASE2,success,Phase 2,Success,-0.0079250568841468,-0.1184684561319263,0.0093767883821558,0.0284664621058232,0.3615176635185329,False,True,True,False,False,
NCT04706793,PFE,PHASE3,failure_efficacy_safety,Phase 3,Failure,-0.0101014510842928,-0.249293105496547,0.0020339611758852,0.0381533960169415,0.0673341637538091,False,False,False,False,True,
NCT03746522,RYTM,PHASE3,success,Phase 3,Success,0.0339289824638579,-0.3125767718119566,0.0338316525480097,0.0139784532288076,-0.3528836668375967,False,True,False,False,False,
NCT02647359,PTCT,PHASE2,success,Phase 2,Success,0.0413827107126351,-0.1839603326061701,0.1259024052811155,0.0900262664699504,0.3108527401133911,False,False,False,False,True,
NCT04197479,MDGL,PHASE3,success,Phase 3,Success,0.0352791940920932,2.913205073016127,0.1072099142428062,0.0654386927166852,-0.0472894860212466,False,False,False,False,True,
NCT03672175,BIIB,PHASE3,failure_efficacy_safety,Phase 3,Failure,-0.1443213123957218,0.0165008589911973,-0.0619935243684941,0.0909208277094879,-0.064698124049997,False,False,False,False,True,
NCT02706847,ABBV,PHASE3,success,Phase 3,Success,-0.0579859892704757,-0.1269673577688901,-0.0421306621118658,0.0020863078078408,0.4904342072402272,False,True,False,False,False,
NCT02896192,RYTM,PHASE3,success,Phase 3,Success,0.1128636341920826,0.2668346848921372,0.1551034555330095,0.0356054017415767,0.0651529950598164,False,True,False,False,False,
NCT04574362,PFE,PHASE3,success,Phase 3,Success,0.0291059457876027,-0.1020079034808817,0.0485229763586354,-0.1210562074488242,0.2676773488723463,False,True,False,False,False,
NCT04442490,BIIB,PHASE3,success,Phase 3,Success,0.0069579907939311,-0.3180017464671764,0.0239696104574671,-0.0152211432733044,0.5895549467635546,True,False,False,False,False,
NCT02706951,ABBV,PHASE3,success,Phase 3,Success,0.0637931188553356,-0.1122963325455524,0.0600605774103675,-0.0461537934800658,0.0940838345993002,False,True,False,False,False,
NCT01639001,PFE,PHASE3,success,Phase 3,Success,-0.0559005038497819,-0.0647983528230261,-0.0574404347594255,-0.0156358317552968,0.2687115790297301,False,True,False,False,False,
NCT04944784,CYTK,PHASE3,failure_efficacy_safety,Phase 3,Failure,0.0243904602194425,0.1008845512734901,-0.0599699605444756,-0.0664372343775345,-0.2108873438571934,False,False,True,True,False,
NCT03548220,AGIO,PHASE3,success,Phase 3,Success,0.2580607224229352,0.0567841277591715,0.2873935628802926,0.0470555536283616,-0.1205850956544338,False,True,False,False,False,
NCT05005312,PFE,PHASE1,success,Phase 1,Success,-0.0680725226685023,-0.2952154543165042,-0.0520795456213005,0.0550089934163886,0.5187236905122099,True,True,False,False,False,
NCT04366713,PBYI,PHASE2,success,Phase 2,Success,0.0660170592982998,0.4415728129027386,2.220446049250313e-16,-0.0254409452763141,-0.6767241397028729,True,True,False,False,False,
NCT03496168,BMY,PHASE2,success,Phase 2,Success,0.053552823861259,0.1162541806832381,0.0533813720201254,0.007411924535821,-0.058017571454041,False,True,False,False,False,
NCT03148795,PFE,PHASE2,success,Phase 2,Success,-0.0297022054002756,-0.0551136699034974,-0.0131649312957209,0.0657359307106226,-0.0687891853251119,False,True,False,False,False,
NCT04630158,NVS,PHASE2,success,Phase 2,Success,0.064280332204984,0.0516895417090682,0.0691547430418952,-0.0041331920152247,0.1064683213824582,False,True,False,False,False,
NCT03597464,AUPH,PHASE3,success,Phase 3,Success,-0.0185272096133827,-0.5472517206821459,0.0391644916417792,0.0111333875085604,1.9916213910314573,True,False,True,False,False,
NCT04558918,NVS,PHASE3,success,Phase 3,Success,0.0642803601849574,0.0516895914664398,0.0691547430418952,-0.0041333725977589,0.1064684280690211,False,True,False,False,False,
NCT04916470,NVO,PHASE3,success,Phase 3,Success,0.1007578003170089,0.0145710277034092,0.1087710651188773,-0.0364114588924828,0.3424365155172264,False,False,False,False,True,
NCT03340974,GRTX,PHASE1/PHASE2,success,Phase 2,Success,-0.0684929616768479,-0.2509955690267102,-0.0911300121506683,-0.0352304297228626,-0.2295221843003413,False,True,False,False,False,
NCT04677543,INSM,PHASE3,success,Phase 3,Success,0.2072728956361594,0.3152911545577574,0.2042572574486154,-0.0115460754684438,0.0057252311295326,False,False,False,False,True,
NCT04181723,ACAD,PHASE3,success,Phase 3,Success,0.1198742347334513,0.359246674550954,0.1523810119705806,0.0406671940446143,-0.0753074378191657,False,False,False,False,True,
NCT02720523,ABBV,PHASE2/PHASE3,success,Phase 3,Success,-0.0758167688447649,-0.0490787199265101,-0.0694638085397254,-0.003936107732569,0.0619447638827288,False,True,False,False,False,
NCT03819153,NVO,PHASE3,success,Phase 3,Success,0.04218578933964,0.1163133148870741,0.052095740366592,-0.0030598374692422,0.262613926226787,False,False,False,False,True,
NCT04571060,PFE,PHASE3,success,Phase 3,Success,0.0291059457876027,-0.1020079034808817,0.0485229763586354,-0.1210562074488242,0.2676773488723463,False,True,False,False,False,
NCT04102189,NVO,PHASE3,success,Phase 3,Success,0.032044768857723,0.1638365307956452,0.0287742314447567,-0.0205949392547933,-0.0454546973829546,False,True,False,False,False,confirmed_wrong_match
NCT02756611,ABBV,PHASE3,success,Phase 3,Success,-0.0758167688447649,-0.0490787199265101,-0.0694638085397254,-0.003936107732569,0.0619447638827288,False,True,False,False,False,
NCT02892149,AKBA,PHASE3,failure_efficacy_safety,Phase 3,Failure,-0.7073309666005287,-0.9189193476474408,-0.750240159198569,-0.0710131883179036,0.6966759495812715,True,True,False,False,False,
