nct_id,ticker,phase_clean,category_clean,results_posted,baseline_car,baseline_raw
NCT04492722,AZN,Phase 2,Business Termination,2023-12-26,-0.0014796143395726733,0.023107436480457988
NCT02307513,AMGN,Phase 3,Success,2019-09-11,-0.07632573976884967,-0.059019065013066196
NCT05418673,BIIB,Phase 3,Business Termination,2024-06-26,0.037837654234344,0.034910746983119356
NCT04633187,ENTA,Phase 2,Business Termination,2024-08-22,0.03678618062426439,0.05304830326389909
NCT03990363,AZN,Phase 2,Success,2023-03-02,-0.03602840047823712,-0.03353302318320506
NCT04727528,AZN,Phase 3,Business Termination,2023-10-06,0.017608909325876054,0.026411292659896057
NCT04399538,PFE,Phase 2,Success,2023-04-13,-0.03254682878771264,-0.013180050327655235
NCT02184195,AZN,Phase 3,Success,2020-01-27,-0.01789734456284109,-0.01565923925588908
NCT04501952,GILD,Phase 3,Business Termination,2021-11-16,0.00593051284174763,0.005338994273407227
NCT03934216,BMY,Phase 2,Success,2022-07-06,-0.042117645453788974,-0.021039130413257556
NCT04639310,XENE,Phase 3,Business Termination,2024-08-23,0.04079336404772828,0.03594032001941794
NCT04362137,NVS,Phase 3,Success,2021-06-02,0.012797258551517037,0.014918450110720016
NCT03341962,IMUX,Phase 2,Failure,2024-03-05,0.020591950737646896,-0.0034129172943663244
NCT03374488,INCY,Phase 3,Failure,2019-08-28,-0.00976562293296878,-0.0010988153248830956
NCT02163694,ABBV,Phase 3,Success,2022-04-04,0.022181606401410668,0.03151130791630208
NCT03512353,AMGN,Phase 2,Business Termination,2021-01-08,0.010804735512050374,0.03876918259388562
NCT03890120,GILD,Phase 3,Failure,2023-11-29,0.022073970830809544,0.030114237059127413
NCT04467840,RDHL,Phase 2/3,Success,2023-10-19,0.5413912504358793,0.3665894109310639
NCT01610336,NVS,Phase 2,Success,2021-04-08,0.014076867402355222,0.0008020271637154686
NCT01940471,GILD,Phase 3,Success,2017-03-30,0.009146696894303323,-0.005925666464827173
NCT00915681,VTRS,Phase 2,Business Termination,2022-04-07,0.002858512977201449,-0.013824896990351165
NCT04327024,AZN,Phase 2,Success,2023-06-29,-0.09691314208068082,-0.09033873526673597
NCT03286842,AZN,Phase 3,Success,2023-01-17,-0.0029918299948430396,0.0005676835886276876
