nct_id,ticker,phase_clean,category_clean,results_posted,baseline_car,baseline_raw,category_refined
NCT04725240,RYTM,Phase 2,Success,2023-09-21,-0.0367047295538372,-0.0713121407788013,Success
NCT03859427,AMGN,Phase 3,Success,2024-04-18,0.0296731125509894,0.024104720238729,Success
NCT04102579,NBIX,Phase 3,Success,2023-10-11,-0.0051060272950404,-0.0095673129497534,Success
NCT03905330,MIRM,Phase 3,Success,2023-12-11,0.0087167668091689,0.0740974746957707,Success
NCT03762265,SNY,Phase 3,Business Termination,2022-09-21,-0.0418541660337609,-0.0592846492052896,Failure
NCT05438602,PFE,Phase 2,Success,2024-09-23,-0.0210857063634827,-0.0275628611688055,Success
NCT03756129,NVS,Phase 2,Success,2021-05-19,-0.0097961296217789,-0.0095547309833022,Success
NCT03304054,CPRX,Phase 3,Success,2021-08-13,-0.0436138357743832,-0.0387205415585655,Success
NCT03777436,AMGN,Phase 3,Success,2022-12-15,-0.0383962153471014,-0.040031783920557,Success
NCT01737827,NVS,Phase 2,Business Termination,2024-09-24,-0.0044362090351378,-0.0031902740407224,Business Termination (feasibility)
NCT03968159,ACAD,Phase 3,Success,2021-11-17,-0.0387190971482686,-0.0726392265234704,Success
NCT05061693,INCY,Phase 2,Success,2024-08-27,0.0418160751868212,0.0458585081458799,Success
NCT02691182,SUPN,Phase 3,Failure,2024-05-16,-0.0491333625261667,-0.0306603719021328,Failure
NCT04707469,NVO,Phase 3,Success,2024-04-03,-0.0293048763554163,-0.0197819396383526,Success
NCT02725593,AZN,Phase 3,Success,2020-12-02,0.0106597320231608,0.0214787117896757,Success
NCT03459443,LXRX,Phase 2,Business Termination,2022-08-11,0.2919980246009109,0.3294574295297496,Failure
NCT03832114,NVS,Phase 2,Success,2022-07-08,-0.0151520419242838,-0.0040341562192004,Success
NCT02680574,AKBA,Phase 3,Success,2022-06-27,0.0414361897330734,0.0674156983563019,Success
NCT04164732,NVS,Phase 2,Success,2024-08-29,-0.0045105161871853,-0.0054553337067629,Success
NCT03315143,LXRX,Phase 3,Business Termination,2022-10-28,0.0041648103822525,0.0622010142486477,Business Termination
NCT03775200,CMPS,Phase 2,Success,2023-04-24,-0.1130361439751444,-0.1646216462817964,Success
NCT02980731,ABBV,Phase 3,Success,2023-02-22,0.023210854258881,0.0212664897001157,Success
NCT04124926,PHAT,Phase 3,Success,2022-07-29,-0.32630017851122,-0.331262925446361,Success
NCT02929329,CYTK,Phase 3,Success,2021-07-20,0.4897989959647575,0.5579710588470368,Success
NCT04074590,NVS,Phase 2,Business Termination,2023-11-09,0.009578582837925,0.0068485558881572,Business Termination
NCT03322540,INCY,Phase 2,Success,2020-02-05,-0.0369167497206722,0.0146434884260717,Success
NCT04962230,PFE,Phase 1,Success,2023-10-10,-0.000851714527163,-0.0164326647097371,Success
NCT02201108,SNY,Phase 3,Success,2020-11-30,0.0012553553863542,0.0140224851852388,Success
NCT00490139,NVS,Phase 3,Success,2014-08-18,0.0144796138190253,0.0222680173410869,Success
NCT03345849,ABBV,Phase 3,Success,2022-11-23,0.0282538832993798,0.0222609950124057,Success
NCT03682705,ABBV,Phase 2,Success,2021-05-03,0.0443021516676993,0.0343964730268793,Success
NCT02755597,ABBV,Phase 3,Success,2023-08-22,-0.0197527444129621,-0.0225970277922528,Success
NCT04016779,SUPN,Phase 3,Success,2022-07-12,-0.0382409897279949,-0.0438392450370929,Success
NCT01945775,PFE,Phase 3,Success,2018-10-03,0.0247852606120511,0.0190606045472248,Success
NCT03559699,AGIO,Phase 3,Success,2021-12-10,0.0336480608422638,-0.0140715541081981,Success
NCT01506609,ABBV,Phase 2,Success,2021-10-25,-0.0014959724842278,-9.215525680628112e-05,Success
NCT03689374,NVO,Phase 3,Success,2022-05-04,-0.0224268103081889,-0.0232456171254168,Success
NCT04268823,NVS,Phase 2,Business Termination,2023-10-04,-0.0561258378978649,-0.0463380581828183,Business Termination
NCT04788511,NVO,Phase 3,Success,2024-06-11,-0.0098648866814867,0.0006319873355051,Success
NCT03502616,PFE,Phase 3,Success,2021-01-11,-0.0121273314084763,-0.0002710981837377,Success
NCT00585195,PFE,Phase 1,Success,2021-10-14,-0.0302250695398028,-0.0175937514843697,Success
NCT03213457,ABBV,Phase 3,Success,2021-04-20,0.0212852143554536,0.0295631202246988,Success
NCT04375397,ABBV,Phase 2,Success,2022-06-01,-0.0394396468112379,-0.0225809427531439,Success
NCT04598269,ACRS,Phase 2,Success,2023-09-28,0.0203372658366017,-0.010670757968287,Success
NCT04017832,NVO,Phase 3,Success,2023-09-29,-0.0484700499245764,-0.0436867583767177,Success
NCT03486457,PFE,Phase 3,Success,2024-02-08,0.0454640989797635,0.0410236482827992,Success
NCT04143594,GILD,Phase 2,Success,2022-12-19,-0.0429630331064733,-0.035407463014352,Success
NCT05047601,PFE,Phase 2/3,Success,2023-05-06,-0.0168579174990866,-0.0039012499579242,Success
NCT03718533,NVS,Phase 2,Business Termination,2024-02-05,-0.0004333290507207,-9.667155422354856e-05,Business Termination (feasibility)
NCT04683939,BNTX,Phase 1/2,Business Termination,2024-10-02,0.0426521395084754,0.0377262649164276,Business Termination
NCT05266586,NAMS,Phase 2,Success,2024-07-03,0.0067395320319736,0.0411244639863568,Success
NCT03019185,BIIB,Phase 2/3,Success,2023-10-11,0.0087126141514021,-0.0037606466642926,Success
NCT01460160,BMY,Phase 2,Success,2018-08-21,-0.0220710229480904,-0.0166914468366077,Success
NCT04217590,AZN,Phase 3,Success,2023-03-28,0.0233305260538339,0.0288434703167106,Success
NCT03382639,NBIX,Phase 2,Success,2024-02-28,-0.0631276163526222,-0.02146362931307,Success
NCT03287960,RYTM,Phase 3,Success,2023-05-23,0.0192178919078763,-0.0030302567915482,Success
NCT03434353,GILD,Phase 2,Business Termination,2022-04-04,0.019187012456637,0.0194434001877132,Business Termination
NCT01920061,PFE,Phase 1,Success,2021-10-07,-0.0244841552374876,-0.0084867354240281,Success
NCT03624127,BMY,Phase 3,Success,2023-01-30,-0.0280417681504047,-0.0265138370953831,Success
NCT04853368,ABBV,Phase 2,Business Termination,2024-07-16,0.014648345582926,0.0164918248648384,Business Termination
