nct_id,ticker,phase_clean,category_clean,results_posted,baseline_car,baseline_raw
NCT03110562,KPTI,Phase 3,Success,2021-07-08,-0.024361978955573856,-0.07421501681709275
NCT04380142,ABBV,Phase 3,Success,2022-11-18,0.05455560178678225,0.04410603165159377
NCT04688164,RLMD,Phase 3,Failure,2024-03-26,-0.02973736328680085,-0.0021458696077492068
NCT03653026,ABBV,Phase 3,Success,2021-11-26,-0.0018279077625501239,-0.0031993947532320544
NCT02924376,INCY,Phase 2,Success,2023-02-23,-0.014373224554570563,-0.030253156830993055
NCT02007512,PFE,Phase 2,Success,2018-02-06,-0.08475085759721732,-0.08688585167879825
NCT05035095,NVO,Phase 3,Success,2026-05-07,0.05729600568966535,0.0452805173207369
NCT04724837,AZN,Phase 2,Success,2024-07-30,0.029460529304643563,0.03413150091758688
NCT04706793,PFE,Phase 3,Failure,2023-10-16,-0.03687189863281787,-0.05134388961407721
NCT03746522,RYTM,Phase 3,Success,2023-12-01,0.06786831258105702,0.14637186775462951
NCT02647359,PTCT,Phase 2,Success,2022-05-27,-0.09927294793803988,-0.07270410211321576
NCT03672175,BIIB,Phase 3,Success,2022-11-10,-0.007190934160588941,0.050734321864704945
NCT02706847,ABBV,Phase 3,Success,2019-10-07,0.021816027037228857,0.01622071810057646
NCT02896192,RYTM,Phase 3,Success,2023-09-21,-0.03670488688486222,-0.07131214077880133
NCT04574362,PFE,Phase 3,Success,2023-12-14,-0.06803357411430286,-0.05516762259676189
NCT04442490,BIIB,Phase 3,Success,2023-12-05,0.006494651729562505,0.021531071628110965
NCT02706951,ABBV,Phase 3,Success,2019-10-07,0.021816027037228857,0.01622071810057646
NCT01639001,PFE,Phase 3,Success,2017-03-13,0.017458592205582667,0.021232731309155373
NCT04944784,CYTK,Phase 3,Failure,2024-12-05,0.02029447079270864,-0.0025676686820593764
NCT03548220,AGIO,Phase 3,Success,2022-05-24,-0.04172039972052545,-0.05919462322045588
NCT05005312,PFE,Phase 1,Success,2023-09-06,-0.025083403328769786,-0.03193889014975193
NCT04366713,PBYI,Phase 2,Success,2023-02-10,-0.08646368295856871,-0.0924369823662422
NCT03496168,BMY,Phase 2,Success,2025-01-09,-0.02125780081243232,-0.016584093062263938
NCT03148795,PFE,Phase 2,Success,2021-09-08,-0.034957766390918396,-0.026686489127992985
NCT04630158,NVS,Phase 2,Success,2024-04-18,0.011453282058466217,0.007520311370186938
NCT03597464,AUPH,Phase 3,Success,2022-12-14,-0.013294427307709994,-0.014957200297391338
NCT04558918,NVS,Phase 3,Success,2023-11-28,0.0039307458871129216,0.0083429449909862
NCT03340974,GRTX,Phase 2,Success,2023-12-15,0.06853467750601419,-0.044117673870600616
NCT04677543,INSM,Phase 3,Success,2024-06-28,-0.05948666313322948,-0.07473818896711393
NCT04181723,ACAD,Phase 3,Success,2024-04-08,-0.017167369476754152,-0.037459312225825214
NCT02720523,ABBV,Phase 3,Success,2019-10-21,0.03311687619262807,0.040133743443348635
NCT03819153,NVO,Phase 3,Success,2025-03-20,-0.04694205136190795,-0.06013721452089005
NCT04571060,PFE,Phase 3,Success,2023-03-16,0.03223831039186945,0.023833280130057144
NCT04102189,NVO,Phase 3,Success,2023-04-18,-0.028761042685623826,-0.013540842371888573
NCT02756611,ABBV,Phase 3,Success,2020-05-04,0.0007656443884612079,0.01981873849714111
NCT02892149,AKBA,Phase 3,Failure,2022-06-28,-0.03984626894044337,-0.10178122335422157
NCT04402866,TBPH,Phase 2,Failure,2022-03-17,-0.0073928348341648145,0.05211721392488755
NCT03750552,TBPH,Phase 3,Failure,2022-09-14,0.12140329885311402,0.098146086264157
NCT04657666,JAZZ,Phase 3,Failure,2023-07-20,0.06280129822451963,0.04525280607594362
NCT02955212,ABBV,Phase 3,Success,2020-08-06,-0.03798471433018592,-0.03710663877449394
NCT04595370,AZN,Phase 2,Success,2024-11-19,-0.013005587421947512,-0.011992562860570044
NCT02454933,AZN,Phase 3,Failure,2018-08-10,0.01880624801923684,0.0144605757555476
NCT03139604,INCY,Phase 3,Success,2020-05-15,-0.02383885897968108,-0.01881331129846764
NCT04921969,INCY,Phase 3,Success,2024-06-10,0.022005120062778362,0.015415887959179031
NCT03359785,NBIX,Phase 2,Success,2024-02-28,-0.06312762242080884,-0.02146362931307
NCT03377699,NVO,Phase 3,Success,2022-04-27,0.042175557367983174,0.029810184011195506
NCT05538312,PFE,Phase 1,Success,2024-09-23,-0.02108578839585818,-0.02756293332950399
NCT04074161,NVO,Phase 3,Success,2022-04-27,0.042175557367983174,0.029810184011195506
NCT03574597,NVO,Phase 3,Success,2024-08-30,-0.009453682167559001,-0.0048083903519801074
NCT03759392,CYTK,Phase 3,Success,2023-03-07,-0.026631737764928262,-0.06919186791282683
NCT03697109,CORT,Phase 3,Success,2025-04-24,0.023041991468966887,0.1279808462174885
NCT04725240,RYTM,Phase 2,Success,2023-09-21,-0.036704895622317796,-0.07131214077880133
NCT04102579,NBIX,Phase 3,Success,2023-10-11,-0.005106018022623275,-0.009567312949753437
NCT03905330,MIRM,Phase 3,Success,2023-12-11,0.008716864825997594,0.07409747469577077
NCT03304054,CPRX,Phase 3,Success,2021-08-13,-0.04361383579930044,-0.038720541558565524
NCT03777436,AMGN,Phase 3,Success,2022-12-15,-0.03839648485195929,-0.04003201783326582
NCT03968159,ACAD,Phase 3,Success,2021-11-17,-0.03871910162709585,-0.07263922652347043
NCT04707469,NVO,Phase 3,Success,2024-04-03,-0.02930487716929327,-0.01978187610539428
NCT02725593,AZN,Phase 3,Success,2020-12-02,0.010660016398927802,0.02147895989147308
NCT03832114,NVS,Phase 2,Success,2022-07-08,-0.015152020550108183,-0.00403415579653188
NCT02680574,AKBA,Phase 3,Failure,2022-06-27,0.04143624817655008,0.0674156983563019
NCT03775200,CMPS,Phase 2,Success,2023-04-24,-0.11303602585703436,-0.16462164628179643
NCT02980731,ABBV,Phase 3,Success,2023-02-22,0.023211287677389884,0.02126695571671977
NCT04124926,PHAT,Phase 3,Success,2022-07-29,-0.32629993624951337,-0.33126292544636105
NCT02929329,CYTK,Phase 3,Success,2021-07-20,0.48979893158255916,0.5579710588470368
NCT03322540,INCY,Phase 2,Success,2020-02-05,-0.036916944154205975,0.014643488426071771
NCT02201108,SNY,Phase 3,Success,2020-11-30,0.0012553828469949006,0.014022485185239075
NCT03345849,ABBV,Phase 3,Success,2022-11-23,0.028253769499698714,0.02226087585894221
NCT03682705,ABBV,Phase 2,Success,2021-05-03,0.04430220624735462,0.034396470198802875
NCT02755597,ABBV,Phase 3,Success,2023-08-22,-0.019752747591063206,-0.0225970303234988
NCT04795531,NVO,Phase 3,Success,2024-12-04,0.04500878204151825,0.037172174894237964
NCT04016779,SUPN,Phase 3,Success,2022-07-12,-0.03824099368061306,-0.04383924503709291
NCT01945775,PFE,Phase 3,Success,2018-10-03,0.02478539927736765,0.01906046989596044
NCT05174065,AMGN,Phase 3,Failure,2025-04-09,-0.03511982983454005,-0.028567581309571155
NCT03559699,AGIO,Phase 3,Success,2021-12-10,0.033648178609376016,-0.014071554108198159
NCT01506609,ABBV,Phase 2,Success,2021-10-25,-0.0014962404347295382,-9.240407789001814e-05
NCT03689374,NVO,Phase 3,Success,2022-05-04,-0.022426841733753117,-0.023245688814606424
NCT04977336,VRTX,Phase 2,Success,2025-06-25,-0.0029614332127578923,0.0009753276034740743
NCT04788511,NVO,Phase 3,Success,2024-06-11,-0.009864903455538383,0.000631987263096212
NCT03502616,PFE,Phase 3,Success,2021-01-11,-0.012127295089930861,-0.0002710981652388478
NCT04598269,ACRS,Phase 2,Success,2023-09-28,0.020337226130767716,-0.010670757968287092
NCT04017832,NVO,Phase 3,Success,2023-09-29,-0.04847008719645796,-0.04368684789069266
NCT03486457,PFE,Phase 3,Success,2024-02-08,0.0454640413172789,0.041023648282799474
NCT05047601,PFE,Phase 3,Failure,2023-05-06,-0.01685790159295498,-0.003901189761653545
NCT05266586,NAMS,Phase 2,Success,2024-07-03,0.0067395324595777555,0.04112446398635683
NCT03382639,NBIX,Phase 2,Success,2024-02-28,-0.06312764196720035,-0.02146362931307
NCT03287960,RYTM,Phase 3,Success,2023-05-23,0.019218028669016465,-0.003030256791548225
NCT03624127,BMY,Phase 3,Success,2023-01-30,-0.02804130814491095,-0.026513417692699548
NCT05237284,SNY,Phase 2,Failure,2025-03-21,-0.06725697692526271,-0.06191845591043521
NCT03237325,SNGX,Phase 3,Success,2022-08-29,-0.052000089913914124,-0.06024096477831731
NCT02606461,KPTI,Phase 3,Success,2021-12-07,-0.06985356116324014,-0.11263732386543146
NCT02464228,KURA,Phase 2,Success,2024-06-26,-0.05259689558076184,-0.016714439949534476
NCT03548987,NVO,Phase 3,Success,2021-03-15,-0.011034712110548456,0.0006968671244031999
NCT03427125,ARDX,Phase 3,Success,2023-06-29,-0.056553081621906406,-0.026548716755993906
NCT04186871,BMY,Phase 2,Success,2024-01-16,0.010133839871725493,-0.011251677165205365
NCT03611582,NVO,Phase 3,Success,2021-07-09,0.013725359492594385,0.018929960603776053
NCT03796676,PFE,Phase 3,Success,2021-06-04,4.139299001408147e-05,0.00909088930530988
NCT03877224,AZN,Phase 3,Success,2021-11-17,-0.04321901656628329,-0.036394619038007225
NCT02819635,ABBV,Phase 3,Success,2022-06-30,-0.010076272165960682,0.0051583291006129794
NCT03373461,NVS,Phase 2,Success,2022-10-07,-0.02279374427537176,-0.03029532743531027
NCT03523728,SNY,Phase 3,Failure,2022-11-09,-0.019986625198470505,-0.01879876370153466
NCT02307513,AMGN,Phase 3,Success,2019-09-11,-0.07632513809026413,-0.059018438688264174
NCT03990363,AZN,Phase 2,Failure,2023-03-02,-0.03602854803324898,-0.03353308175249925
NCT04399538,PFE,Phase 2,Success,2023-04-13,-0.03254666427415324,-0.01318004885987134
NCT02184195,AZN,Phase 3,Success,2020-01-27,-0.01789719784087668,-0.015659152563301082
NCT03341962,IMUX,Phase 2,Failure,2024-03-05,0.020592039574853,-0.0034129172943663244
NCT03374488,INCY,Phase 3,Failure,2019-08-28,-0.009765611563127333,-0.0010988153248830956
NCT04467840,RDHL,Phase 3,Success,2023-10-19,0.5413909949174932,0.3665894109310639
NCT01940471,GILD,Phase 3,Success,2017-03-30,0.009146769004429638,-0.005925825251729799
