ticker,drug_name,phase,outcome,category,success,date,tier,alpha,beta,car_short,ret_long_entry_exit,ar_long_entry_exit,ret_short_entry_exit,ar_short_entry_exit
JNJ,IMBRUVICA (ibrutinib),Phase 3,miss,Phase 3 miss,False,2018-07-11,large,-0.0007276669276799094,0.3603113403406388,0.003966131326630373,0.14240701501844333,0.24545954060737696,0.04249944572148645,0.040113232457726244
JNJ,Ponesimod,Phase 3,met,Phase 3 met,True,2019-07-26,large,0.0010374892132628702,0.1619922093535616,0.01693136461864353,-0.09442796519804342,-0.1648569009739692,-0.06452057885357709,-0.07681582553272392
KMDA,Alpha-1 Antitrypsin (AAT),Phase 2,miss,Phase 2 miss,False,2017-11-01,small,-0.0017034399921345448,-0.013596767956182214,-0.07916903993996449,0.09473676931048014,0.26368870561348157,-0.04811708115835722,-0.022302768941555806
KMDA,Inhaled formulation of AAT,Phase 2,met,Phase 2 met,True,2016-08-30,small,0.0006985157101564128,0.0968928257895147,0.10616028893703833,0.4232673606370303,0.33767206023041285,0.18048783133373636,0.16865188074741555
KPTI,Selinexor SOPRA,Phase 2,miss,Phase 2 miss,False,2017-03-02,small,0.002955407113288322,1.2944722503863157,0.02229250679053485,-0.146859923038697,-0.39927444487123875,0.14731703347306935,0.033827494909876465
KURA,Tipifarnib,Phase 2,met,Phase 2 met,True,2019-06-14,small,0.0020118577560062066,1.1102278563652392,0.035603765904762774,-0.004347807028924677,-0.1597552713492434,0.21339173623874186,0.07829624469265162
KURA,Tipifarnib,Phase 2,met,Phase 2 met,True,2019-09-03,small,0.0010193759101322973,1.1182302217319589,0.02391196364189052,-0.1973547805841811,-0.33491959517936054,-0.0852496053991979,-0.09059685809874396
KURA,Tipifarnib - (AIM-HN/SEQ-HN),Phase 2,met,Phase 2 met,True,2017-09-07,small,0.003403693968834142,0.4500484203192796,0.6192404653644497,0.5722221798366973,0.1705156067224387,1.0384615384615397,0.8661469431822648
LGND,Baxdela,Phase 3,met,Phase 3 met,True,2018-10-29,small,0.0023362477765352715,0.764963664649225,-0.04345916995772203,-0.5697475216022998,-0.6086712315840082,-0.2135347341125895,-0.2248118175978362
LGND,Brexanolone - SAGE-547 (202C),Phase 3,met,Phase 3 met,True,2017-11-09,small,0.0011864372350645282,0.4868294861600347,-0.015207449991183286,0.0644597636590929,-0.04661578708091774,-0.006659244930662278,-0.018116973334667108
LGND,Ensifentrine (RPL554) and tiotropium,Phase 2,met,Phase 2 met,True,2020-01-13,small,-0.0006975430819880737,1.133763235244708,-0.06875895229830109,-0.12569563388816607,0.028769940357319612,-0.16206126650445374,-0.12383859084188065
LGND,Ganaxolone,Phase 2,met,Phase 2 met,True,2019-09-26,small,0.00040335110225771595,0.9270833707949088,0.009296809265906258,0.1853491870730415,-0.05621612421400324,0.10915029771460327,0.19158919192002277
LGND,Ganaxolone - Magnolia,Phase 2,miss,Phase 2 miss,False,2019-07-23,small,-0.0008297814325759689,0.8305965090516632,-0.039325315379661774,-0.029672063505076673,0.1188711998849954,-0.1845508162217101,-0.18253607992843912
LGND,KYPROLIS (ASPIRE),Phase 3,met,Phase 3 met,True,2017-07-12,small,0.00023867796896037813,0.7260917654876006,-0.018254415029667626,0.24790865285987285,0.04525750642051807,-0.014880284582842851,-0.010251721259900815
LGND,RPL554 DPI formulation,Phase 2,met,Phase 2 met,True,2019-03-04,small,-0.0034553541712982945,0.8263731891877434,-0.11118023873849936,-0.06731581544979548,0.28866481043650105,-0.08189938503374694,-0.06490271982392448
LGND,RPL554 DPI formulation,Phase 2,met,Phase 2 met,True,2019-08-05,small,-0.00017022506696973884,0.8223593107293009,0.010078235540811331,-0.03787291610663823,0.012837333896715597,-0.1993835064855196,-0.1723516166528961
LGND,SB206,Phase 3,miss,Phase 3 miss,False,2020-01-02,small,-0.00020864271554034178,1.2413158152786257,-0.02432472204661984,-0.35418727901811986,-0.1572709157576827,-0.10116478316420596,-0.09021016988092678
LGND,VK2809,Phase 2,met,Phase 2 met,True,2018-09-18,small,0.002430250106418211,0.827726742733362,-0.01565151057055514,-0.4614081894985447,-0.46333347821637993,0.042550642385096316,0.029256200057719894
