,0
NCT04038437,0.010153679458784426
NCT04977336,0.38861020855809536
NCT03486457,0.08228619287593619
NCT04788511,0.48238737834006273
NCT03502616,0.2465489395802014
NCT04598269,5.955729083720748
NCT04017832,0.5123354285030324
NCT05047601,0.2873272521975767
NCT04772885,-0.4449432906307177
NCT05266586,0.01115624890281497
NCT04958226,0.11054226722408211
NCT03382639,-0.05721593155066318
NCT03287960,0.06515299505981642
NCT03237325,-0.574468085106383
NCT02606461,-0.27010925009897246
NCT04513704,0.18772250549733815
NCT05237284,-0.12210148917733932
NCT02464228,-0.3239624722124256
NCT03548987,0.22529275318294095
NCT02819635,0.06194511702986283
NCT03427125,0.0975142925783441
NCT04186871,0.06442064978966466
NCT03611582,-0.002769541797753461
NCT03796676,-0.07937406144704151
NCT03373461,0.03001878730275065
NCT03877224,0.040801448950837704
NCT03523728,0.046885289772879535
NCT04399538,-0.17442012329983037
NCT02307513,-0.03923150438919587
NCT03341962,-0.5826086790665337
NCT03990363,-0.014132064344207662
NCT02184195,0.08528329936799128
NCT05134727,0.25157387682973464
NCT02228369,0.03791230229242437
NCT03374488,0.1970471081519709
NCT04214860,-0.6642468146584628
NCT04467840,-0.16666666666666663
NCT03625505,0.1768634868532586
NCT03178487,0.06194511702986283
NCT01940471,0.12855745304365018
NCT03286842,0.21366652606508296
NCT04508621,-0.47413793103448276
NCT04529499,0.2655010517790628
NCT04530344,0.016025194234276396
NCT03852719,-0.14727593843283504
NCT01924533,0.03991702588156665
NCT05107115,-0.12210148917733932
NCT03573297,0.09408407776205396
NCT02264990,0.11165727216481458
NCT03548935,0.06790300380770709
NCT02706873,0.09408407776205396
NCT03611751,0.07824121280361651
NCT03877237,0.10655011841105821
NCT02369653,0.004250253548198746
NCT03619213,0.07747078133494356
NCT05099640,-0.06209213780101752
NCT02675426,0.49043416392492256
NCT03335371,0.06586816909387228
NCT03693430,0.06790300380770709
NCT04349072,-0.05801764152967881
NCT03601637,-0.1359765522066947
NCT04799158,-0.4143484888325999
NCT02648347,0.6966759495812715
NCT04308681,-0.09412839605339618
NCT03818256,0.07924924054112226
NCT04411641,0.04943061799887993
NCT04410991,0.04943061799887993
